"a","b"
"0","0"
"0","0"
"0","0"
"1","0"
"8","0"
"678","0"
"0","0"
"0","0"
"5","0"
"2","0"
"2","0"
"27","0"
"0","0"
"0","0"
"0","0"
"10","0"
"0","0"
"0","0"
"0","0"
"12","0"
"0","0"
"0","0"
"0","0"
"18","0"
"0","0"
"0","0"
"0","0"
"32","0"
"89","0"
"244","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"137","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"245","0"
"63","0"
"0","0"
"0","0"
"0","0"
"62","0"
"58","0"
"0","0"
"0","0"
"0","0"
"2","0"
"0","0"
"5","0"
"10","0"
"0","0"
"0","0"
"362","0"
"12","0"
"0","0"
"193","0"
"8","0"
"28","0"
"70","0"
"44","0"
"3","0"
"126","0"
"25","0"
"11","0"
"11","0"
"0","0"
"39","0"
"0","0"
"10","0"
"10","0"
"20","0"
"61","0"
"3","0"
"4","0"
"0","0"
"0","0"
"0","0"
"101","0"
"96","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"29","0"
"73","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"38","0"
"0","0"
"2","0"
"8","0"
"0","0"
"0","0"
"3","0"
"0","0"
"39","0"
"16","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","57"
"0","0"
"19","0"
"48","0"
"4","0"
"0","0"
"0","0"
"2","0"
"20","0"
"59","0"
"100","0"
"67","0"
"6","0"
"69","0"
"0","0"
"0","0"
"0","0"
"0","0"
"3","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"99","0"
"13","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"11","0"
"0","0"
"0","0"
"136","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"4","0"
"39","0"
"0","0"
"14","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"1","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"94","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"3","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"162","0"
"0","0"
"0","0"
"505","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"10","0"
"301","0"
"176","0"
"37","0"
"2","0"
"97","0"
"78","0"
"0","0"
"98","0"
"64","0"
"48","0"
"73","0"
"0","0"
"9","0"
"3","0"
"0","0"
"0","0"
"0","0"
"2","0"
"0","0"
"0","0"
"209","0"
"29","0"
"0","0"
"3","0"
"9","0"
"116","0"
"0","0"
"0","0"
"8","0"
"0","0"
"0","0"
"0","10"
"0","0"
"0","0"
"1","0"
"31","0"
"2","0"
"0","0"
"7","0"
"0","0"
"0","0"
"84","0"
"0","0"
"5","0"
"0","0"
"0","0"
"17","0"
"20","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","7"
"31","0"
"0","0"
"368","0"
"3","0"
"73","0"
"85","0"
"0","0"
"0","0"
"44","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"46","6"
"0","0"
"0","0"
"0","0"
"12","0"
"0","0"
"0","0"
"0","0"
"0","0"
"7","0"
"6","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"132","0"
"0","0"
"1","0"
"8","0"
"0","0"
"0","0"
"13","0"
"0","0"
"0","0"
"2","820"
"0","0"
"0","0"
"0","0"
"11","0"
"58","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"41","41"
"0","1"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","0"
"0","1"
"0","0"
"0","76"
"0","0"
"0","0"
"35","0"
"134","0"
"134","22"
"0","0"
